parent_category,category,category_description,question,explanation,image,order,choice_1,choice_2,choice_3,choice_4,choice_5,correct_answer
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,BECAK : KENDARAAN = .... : ....,"Hubungannya adalah bagian terhadap keseluruhan. Becak merupakan bagian dari kendaraan, sebagaimana gadis merupakan bagian dari orang.",,1,Gadis : Orang,Bengawan : Sungai,Guru : Murid,Baja : Belati,Kapal : Perahu,1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,HEINA : ANJING HUTAN = .... : ....,Heina adalah nama lain dari anjing hutan. Keluai adalah nama lain dari musang.,,2,Anoa : Macan,Luwak : Burung,Kuwuk : Kambing,Bajing : Kucing,Keluai : Musang,5
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,CHILI : SANTIAGO = .... : ....,"Hubungannya adalah negara dan ibu kota. Chili beribu kota Santiago, sedangkan Srilanka beribu kota Colombo.",,3,Indonesia : Denpasar,Srilanka : Colombo,Nairobi : Kenya,Mesir : Tripoli,Maroko : Tunis,2
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,TANGAN BESI : BERPERILAKU KERAS = .... : ....,Kiasan tangan besi berarti berperilaku keras. Kiasan panas hati berarti marah.,,4,Panjang usus : Kecewa,Buah bibir : Kehormatan,Kepala batu : Supel,Panas hati : Marah,Mata-mata : Tangan kaki,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"X, U, X, R, X, O, X, ....","Huruf X tetap, sedangkan huruf di antaranya mundur tiga langkah: U, R, O, L.",,5,L,N,K,X,M,1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"ABD, FGI, KLN, PQS, ....","Tiap kelompok maju dengan pola +1, +2 di dalam kelompok dan loncatan antar kelompok yang konsisten, sehingga lanjutan yang tepat adalah UVX.",,6,WXA,UVW,TUV,TUW,UVX,5
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"23, 26, 19, 22, 15, 18, ...., ....","Polanya +3 lalu -7 secara bergantian: 23, 26, 19, 22, 15, 18, 11, 14.",,7,21 dan 14,21 dan 24,11 dan 18,11 dan 4,11 dan 14,5
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"C, G, K, O, ...., ....","Pola huruf bertambah empat langkah: C, G, K, O, S, W.",,8,T dan X,S dan V,S dan W,R dan V,R dan W,3
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Hanya senapati agung yang memimpin prajurit Singasari dalam peperangan. Pangeran Singasari tidak tunduk pada perintah senapati agung. Pernyataan yang sesuai adalah ....,"Jika semua prajurit Singasari tunduk pada senapati agung dalam peperangan, maka pihak yang tidak tunduk pada senapati agung bukan termasuk prajurit Singasari.",,9,Pangeran Singasari bukan prajurit Singasari dalam peperangan,Pangeran Singasari diperbolehkan memimpin prajurit Singasari dalam peperangan,Senapati agung tunduk pada perintah pangeran Singasari dalam peperangan,Pangeran Singasari tidak tunduk pada perintah senapati agung dalam peperangan,Tidak dapat ditarik kesimpulan,1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Ikan kakap merah penampilannya menarik. Ikan tuna rasanya enak. Udang bergizi tinggi. Bandeng bergizi. Hidangan yang menarik dan bergizi adalah ....,"Pada data yang diberikan, kakap merah memiliki sifat menarik dan udang memiliki sifat bergizi tinggi.",,10,Ikan tuna dan bandeng,Ikan kakap merah dan udang,Bandeng dan kakap merah,Udang dan bandeng,Ikan tuna dan kakap merah,2
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Semua peserta CPNS menempuh tes kemampuan dasar. Sebagian peserta CPNS mengikuti tes kemampuan bidang. Jadi ....,"Dari premis umum dan premis sebagian, kesimpulan partikular yang masih mungkin adalah sebagian peserta yang tidak mengikuti tes kemampuan bidang tetap menempuh tes kemampuan dasar.",,11,Semua peserta CPNS yang menempuh tes kemampuan dasar tidak mengikuti tes kemampuan bidang,Semua peserta CPNS yang mengikuti tes kemampuan bidang tidak menempuh tes kemampuan dasar,Semua peserta CPNS yang tidak mengikuti tes kemampuan bidang tidak menempuh tes kemampuan dasar,Sebagian peserta CPNS yang tidak mengikuti tes kemampuan bidang menempuh tes kemampuan dasar,Sebagian peserta CPNS yang mengikuti tes kemampuan bidang tidak menempuh tes kemampuan dasar,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Semua murid yang mengikuti ujian tidak menggunakan kalkulator. Sebagian murid yang ujian mengenakan jam tangan. Jadi ....,"Karena semua peserta ujian tidak menggunakan kalkulator dan sebagian dari mereka mengenakan jam tangan, maka sebagian murid ujian mengenakan jam tangan dan tidak menggunakan kalkulator.",,12,Semua murid yang ujian mengenakan jam tangan,Sementara murid yang ujian tidak mengenakan jam tangan,Semua murid yang ujian tidak menggunakan kalkulator dan tidak mengenakan jam tangan,Sebagian murid yang ujian mengenakan jam tangan dan tidak menggunakan kalkulator,Sebagian murid yang ujian mengenakan jam tangan dan menggunakan kalkulator,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Semua mahasiswa berdasi. Sebagian mahasiswa berjas. Jadi ....,"Dari satu premis umum dan satu premis sebagian, kesimpulan yang dapat diambil adalah sebagian mahasiswa berdasi dan berjas.",,13,Sebagian mahasiswa berjas,Sebagian mahasiswa berjas dan bersepatu,Sebagian mahasiswa berdasi dan berjas,"Sebagian mahasiswa berdasi, tapi berjas",Semua mahasiswa berdasi dan berjas,3
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Semua siswa kelas A dapat berbahasa Inggris. Sebagian siswa kelas A mendapat nilai tinggi. Jadi ....,"Karena semua siswa kelas A bisa berbahasa Inggris dan sebagian siswa kelas A mendapat nilai tinggi, maka sebagian siswa kelas A mendapat nilai tinggi dan dapat berbahasa Inggris.",,14,Sebagian siswa kelas A mendapat nilai tinggi dan dapat berbahasa Inggris,Sebagian siswa kelas A mendapat nilai tinggi dan tidak dapat berbahasa Inggris,Sebagian siswa kelas A tidak mendapat nilai tinggi dan tidak dapat berbahasa Inggris,Sebagian siswa kelas A mendapat nilai tinggi tetapi tidak dapat berbahasa Inggris,Semua siswa kelas A tidak mendapat nilai tinggi dan dapat berbahasa Inggris,1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"Ali lebih cermat dari Budi, tetapi lebih ceroboh dari Dani. Mardi lebih cermat dari Dani. Urutan dari yang paling cermat adalah ....",Simbol hubungan memberi urutan Mardi > Dani > Ali > Budi.,,15,"Mardi, Dani, Ali, Budi","Deni, Mardi, Ali, Budi","Mardi, Ali, Budi, Deni","Mardi, Deni, Budi, Ali","Deni, Budi, Mardi, Ali",1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"X lebih tua dari N, E lebih muda dari A, T lebih muda dari N, X lebih muda dari E, N lebih tua dari T, maka yang termuda adalah ....","Urutan dari tua ke muda adalah A, E, X, N, T. Jadi yang termuda adalah T.",,16,N,E,X,T,A,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Jika A = B maka A tidak sama dengan C. Bila P = A maka ....,"Jika A = B dan A tidak sama dengan C, maka bila P = C, P juga tidak sama dengan A.",,17,Bila P = C maka P = B,Bila P = C maka P tidak sama dengan A,Bila P = C maka P tidak sama dengan B,Bila P = C maka P = A = B,Bila P = C maka B bukan A,2
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Jika x = luas persegi dengan panjang sisi 20 dan y = luas lingkaran dengan diameter 20 maka ....,Luas persegi 20 × 20 = 400. Luas lingkaran dengan jari-jari 10 sekitar 314. Maka x lebih besar dari y.,,18,x > y,x < y,x = y,x dan y tidak bisa ditentukan,x > 2y,1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"Jika a = 4,5, b = 5,4 dan c = a + b² maka hasil (a² × b) − c adalah ....","Dari a = 4,5 dan b = 5,4 diperoleh c = 4,5 + 29,16 = 33,66. Nilai (a² × b) − c = 20,25 × 5,4 − 33,66 = 75,69.",,19,"76,59","75,69","75,96","75,95","74,59",2
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"Seorang pedagang membeli barang seharga Rp450.000,00 lalu berhasil menjual semuanya seharga Rp573.750,00. Berapakah persentase keuntungan yang didapat pedagang tersebut?","Keuntungan = 573.750 − 450.000 = 123.750. Persentase keuntungan = 123.750 / 450.000 × 100% = 27,5%.",,20,20%,"22,5%",25%,"25,5%","27,5%",5
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"Jika keliling sebuah lingkaran 34,53 meter, berapakah jari-jarinya?","Keliling lingkaran 2 × π × r. Dengan π = 3,14 diperoleh r = 34,54 / 6,28 ≈ 5,5 meter.",,21,"4,5 m","5,5 m","6,5 m","7,5 m","8,5 m",2
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,(17 × 125 + 83 × 125) : 25 = ....,Gunakan distribusi: (17 + 83) × 125 ÷ 25 = 100 × 5 = 500.,,22,20,200,320,500,720,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Jika 291ab − 32 = 328 maka 97ab = ....,"Dari 291ab − 32 = 328 diperoleh 291ab = 360. Karena 291 = 3 × 97, maka 97ab = 120.",,23,120,130,140,150,160,1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,634 + 8 × 125 − 2.048 : 64 = ....,Kerjakan kali dan bagi lebih dahulu: 8 × 125 = 1.000 dan 2.048 ÷ 64 = 32. Hasil akhirnya 634 + 1.000 − 32 = 1.602.,,24,1.456,1.602,1.666,1.774,1.888,2
