parent_category,category,category_description,question,explanation,image,order,choice_1,choice_2,choice_3,choice_4,choice_5,correct_answer
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saat melayani pelanggan, seorang ibu menyerobot antrean dan meminta dilayani segera karena sudah terlalu lama menunggu. Sikap Anda ....","Pendekatan terbaik adalah menenangkan situasi tanpa membuat keributan, sambil tetap menghargai pihak lain yang sudah mengantre.",,1,Memintanya untuk kembali ke antrean.,Membiarkan saja karena ia tampak lelah.,Meminta izin pada antrean yang ia lewati untuk melayaninya terlebih dahulu agar tidak terjadi keributan.,Mendiamkan dan tidak mempedulikannya.,Meminta teman untuk melayaninya.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Salah satu pengunjung komplain terhadap pelayanan yang diberikan oleh instansi tempat saya bekerja. Saya akan ....,Keluhan pelanggan adalah kritik dan saran yang penting untuk perbaikan layanan di masa depan.,,2,Membantu menyelesaikan permasalahan pengunjung tersebut.,Mengabaikan karena saya sedang banyak pekerjaan.,Memberikan informasi akun dan kartu pendaftaran akun saja.,Menjelaskan aturan dan prosedur yang berlaku.,Menerima keluhan itu sebagai masukan dan menindaklanjutinya agar pelayanan membaik.,5
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saat saya dan teman saya sedang melakukan pelayanan, tiba-tiba seorang ibu marah-marah karena pelayanan yang tidak sesuai dan memarahi teman saya sampai menyakiti hatinya. Sikap Anda ....","Dalam situasi konflik pelayanan, ketenangan dan fokus pada penyelesaian masalah adalah respons terbaik.",,3,Diam saja karena bukan urusan saya.,Menenangkan ibu itu sambil tetap melayaninya dengan baik.,Menenangkan ibu itu sambil menjelaskan bahwa ucapannya menyakiti hati teman saya.,Menenangkan ibu itu dan meminta maaf.,Marah dan mengajak teman untuk tidak melayani ibu itu.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saat saya sedang melakukan pelayanan di kantor, teman masa kecil saya datang tiba-tiba dan tampaknya ingin bercerita panjang. Saya akan ....",Profesionalisme menuntut kita menyelesaikan tanggung jawab pelayanan terlebih dahulu sebelum urusan pribadi.,,4,Mengabaikannya karena saya tidak ingin bertemu teman saya.,Meminta izin atasan supaya saya bisa menemuinya sekarang.,Meminta teman saya menunggu sebentar.,Menutup pelayanan sebentar untuk menemuinya.,Meminta teman saya menunggu sampai saya menyelesaikan pelayanan.,5
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Seorang pelanggan ingin mengurus sesuatu dengan cepat. Teman Anda kelelahan dan butuh istirahat, sementara Anda masih memiliki tugas yang belum selesai. Sikap Anda ....","Tanggung jawab utama tetap harus diselesaikan, namun setelah itu kita tetap tanggap membantu rekan kerja yang membutuhkan.",,5,Menggantikan teman Anda untuk mengurusi pelanggan tersebut.,Melanjutkan tugas teman yang kelelahan supaya kantor tidak terbengkalai.,Melapor kepada atasan untuk meminta petunjuk.,Melayani pelanggan dengan tenang walau bukan tugas Anda.,"Menyelesaikan tugas Anda sampai selesai, lalu membantu teman yang kelelahan.",5
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saat melakukan pelayanan, hal utama yang saya perhatikan adalah ....","Dalam pelayanan publik, orientasi utama adalah kepuasan pelanggan sebagai penerima layanan.",,6,Kecepatan pelayanan.,Kesesuaian prosedur.,Kepuasan pelanggan.,Keramahan pelayanan.,Keuntungan instansi.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Ketika menghadapi komplain atau keluhan pelanggan mengenai pelayanan di tempat kerja saya, saya akan ....",Tujuan utama pelayanan adalah membantu menyelesaikan masalah yang dikeluhkan pelanggan.,,7,Mencatat dan menyampaikan keluhan tersebut pada atasan saya.,Mencoba membantu pelanggan menyelesaikan persoalan.,Mengabaikan karena kondisi saya memang seperti itu.,Menjelaskan peran saya dalam menangani keluhan pelanggan.,Menjelaskan aturan dan prosedur yang berlaku pada pelanggan.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Sebagai pelayan masyarakat, hal yang saya lakukan untuk meningkatkan kualitas kinerja saya adalah ....",Sikap proaktif menunjukkan kemauan memperbaiki mutu pelayanan secara nyata.,,8,Melayani dengan ramah.,Memberikan informasi sebanyak mungkin.,Bertindak proaktif dalam pelayanan.,Melayani dengan ikhlas.,Menjaga perasaan supaya tidak mudah emosi.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saya bekerja di sebuah apotek sebagai bagian penjualan. Saat apoteker belum datang, ada seseorang yang ingin membeli obat racik yang kebutuhannya mendesak. Saya akan ....","Pada bidang kesehatan, prosedur dan kewenangan profesi harus tetap dipatuhi walaupun kebutuhan pelanggan mendesak.",,9,Meminta pertimbangan rekan kerja yang lain.,Mencoba menghubungi apoteker dan menanyakan waktu kedatangannya.,Langsung membuatkan obat racik karena kasihan.,Memintanya untuk menunggu apoteker datang.,Menjelaskan bahwa apoteker belum datang.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Menurut saya kunci utama keberhasilan sebuah tim dalam dunia kerja adalah ....,Tim yang tidak memiliki visi dan misi yang sama akan sulit mencapai hasil optimal.,,10,Pimpinan yang tegas.,Koneksi dan komunikasi yang baik antar anggota tim.,Kemauan seluruh anggota tim untuk bekerja keras.,Semangat bersama untuk meraih keberhasilan.,Kesamaan visi dan misi antar anggota tim.,5
