category;category_description;question;order;choice_1;choice_2;choice_3;choice_4;choice_5;correct_answer
TWK CPNS;Tes Wawasan Kebangsaan CPNS;Pancasila sebagai dasar negara ditetapkan pada tanggal?;1;1 Juni 1945;17 Agustus 1945;18 Agustus 1945;22 Juni 1945;;3
TWK CPNS;Tes Wawasan Kebangsaan CPNS;Lembaga yang berwenang mengubah dan menetapkan UUD 1945 adalah?;2;DPR;MPR;Presiden;Mahkamah Konstitusi;;2
TWK CPNS;Tes Wawasan Kebangsaan CPNS;Semboyan Bhinneka Tunggal Ika menekankan pentingnya?;3;Persaingan antar daerah;Persatuan dalam keberagaman;Kesamaan budaya secara mutlak;Otonomi tanpa batas;;2
TWK CPNS;Tes Wawasan Kebangsaan CPNS;Contoh sikap bela negara di lingkungan kerja adalah?;4;Menyebarkan informasi rahasia kantor;Menjaga integritas dan menaati aturan;Mengutamakan kelompok sendiri;Mengabaikan pelayanan publik;;2
TWK CPNS;Tes Wawasan Kebangsaan CPNS;Hubungan yang benar antara pusat dan daerah dalam NKRI adalah?;5;Daerah sepenuhnya terpisah dari pusat;Pusat dan daerah bekerja sesuai pembagian kewenangan;Daerah dapat membatalkan UUD;Pusat tidak boleh mengawasi daerah;;2
TIU CPNS;Tes Intelegensi Umum CPNS;Jika 3 6 12 24 maka angka berikutnya adalah?;6;36;42;48;54;;3
TIU CPNS;Tes Intelegensi Umum CPNS;Hasil dari 125 dibagi 5 adalah?;7;15;20;25;30;;3
TIU CPNS;Tes Intelegensi Umum CPNS;Semua auditor teliti. Sebagian pegawai adalah auditor. Kesimpulan yang pasti benar adalah?;8;Semua pegawai teliti;Sebagian pegawai teliti;Semua auditor pegawai;Sebagian auditor tidak teliti;;2
TIU CPNS;Tes Intelegensi Umum CPNS;Jika harga 4 map Rp28.000 maka harga 7 map adalah?;9;Rp42.000;Rp49.000;Rp56.000;Rp63.000;;2
TIU CPNS;Tes Intelegensi Umum CPNS;Antonim kata efisien adalah?;10;Tepat;Gesit;Boros;Hemat;;3
TKP CPNS;Tes Karakteristik Pribadi CPNS;Atasan memberi target mendadak saat pekerjaan Anda penuh. Sikap terbaik adalah?;11;Menolak tanpa solusi;Menyusun prioritas dan mengomunikasikan kapasitas;Mengerjakan seadanya;Menyalahkan rekan kerja;;2
TKP CPNS;Tes Karakteristik Pribadi CPNS;Rekan tim melakukan kesalahan input data pelayanan. Anda akan?;12;Mengoreksi diam-diam lalu membiarkannya;Memberi tahu dan membantu memperbaiki proses;Menunggu diminta atasan;Menjadikannya bahan keluhan grup;;2
TKP CPNS;Tes Karakteristik Pribadi CPNS;Masyarakat marah karena antrean panjang. Tindakan paling tepat adalah?;13;Meminta mereka diam;Menjelaskan situasi dengan tenang dan memberi solusi;Mengabaikan keluhan;Meminta satpam langsung mengusir;;2
TKP CPNS;Tes Karakteristik Pribadi CPNS;Anda diminta membantu unit lain di luar tugas utama. Sikap terbaik adalah?;14;Menolak karena bukan jobdesk;Bersedia membantu sesuai prioritas organisasi;Menerima lalu menunda tanpa kabar;Menyuruh orang lain menggantikan;;2
TKP CPNS;Tes Karakteristik Pribadi CPNS;Saat menemukan potensi konflik kepentingan dalam pekerjaan Anda akan?;15;Mendiamkan agar pekerjaan cepat selesai;Melaporkan sesuai prosedur dan menjaga objektivitas;Membicarakan ke teman dekat saja;Mengikuti arahan pihak yang diuntungkan;;2
