parent_category,category,category_description,question,explanation,image,order,choice_1,choice_2,choice_3,choice_4,choice_5,correct_answer
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Membina persatuan dan kesatuan dihubungkan dengan semboyan Bhinneka Tunggal Ika mengandung makna bahwa ....,"Bhinneka Tunggal Ika menegaskan bahwa bangsa Indonesia tetap satu meskipun berbeda-beda, sehingga dalam pergaulan tidak boleh membedakan suku.",,1,Dalam bergaul harus dapat menyesuaikan diri,Kebudayaan daerah harus terus dilestarikan,Dalam pergaulan tidak boleh membedakan suku,Kebudayaan masyarakat tidak tergantikan budaya lain,Keanekaragaman tak mungkin dipersatukan,3
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Pak Suyatno adalah orang yang sombong. Ia selalu menilai orang dari kekayaan dan kedudukannya. Sikap Pak Suyatno bertentangan dengan sila ....,"Sifat sombong bertentangan dengan nilai kemanusiaan yang adil dan beradab, karena merendahkan martabat orang lain dan tidak menghargai sesama.",,2,Ketuhanan Yang Maha Esa,Kemanusiaan yang adil dan beradab,Persatuan Indonesia,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan,Keadilan bagi seluruh rakyat Indonesia,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Pembangunan tidak boleh bersifat pragmatis, hal ini berarti ....","Pembangunan yang sesuai Pancasila tidak boleh pragmatis. Artinya, pembangunan tidak boleh hanya mengejar tindakan nyata sambil mengabaikan pertimbangan etis.",,3,Pembangunan tidak hanya mementingkan tindakan nyata dan mengabaikan pertimbangan etis,Pembangunan hanya mengikuti peraturan masing-masing instansi dan mengabaikan manusia nyata,Pembangunan tidak boleh mengorbankan manusia nyata melainkan menghormati harkat dan martabat bangsa,Pembangunan melibatkan masyarakat sebagai tujuan pembangunan dan keputusan yang menyangkut kebutuhan mereka,Pembangunan tidak hanya mementingkan tindakan nyata dan menghapuskan kemiskinan struktural,1
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Pembangunan yang dilaksanakan mengacu pada standar nilai Pancasila adalah maksud dari ....,"Pancasila sebagai paradigma pembangunan berarti nilai-nilai dasarnya menjadi acuan, tolok ukur, dan arah dalam seluruh proses pembangunan nasional.",,4,Pancasila sebagai ideologi terbuka,Pancasila sebagai ideologi tertutup,Pancasila sebagai nilai instrumental,Pancasila sebagai dasar negara,Pancasila sebagai paradigma pembangunan,5
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Berikut ini yang termasuk dimensi realitas sila ke-3 Pancasila, kecuali ....",Yang tidak termasuk dimensi realitas sila ketiga pada soal ini adalah sikap saling tenggang rasa dan tepa selira.,,5,Menghindari sikap chauvinisme dan primordialisme secara tepat,Memajukan pergaulan demi kemajuan bangsa,Membina hubungan baik dengan semua unsur bangsa,Mengembangkan sikap saling tenggang rasa dan tepa selira,Rela berkorban demi kepentingan bangsa dan negara,4
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Mengembangkan sikap bahwa bangsa Indonesia merupakan bagian dari seluruh umat manusia merupakan perwujudan sila ....,"Sikap merasa sebagai bagian dari seluruh umat manusia merupakan pengamalan sila kedua, Kemanusiaan yang Adil dan Beradab.",,6,Pertama,Kedua,Ketiga,Keempat,Kelima,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Pancasila sebagai paradigma pembangunan politik harus mampu ....,"Dalam paradigma pembangunan politik, Pancasila mengarahkan agar rakyat menjadi subjek politik, bukan sekadar objek kebijakan.",,7,Menjadikan rakyat sebagai subjek politik bukan objek politik,Menjadi sumber dari segala sumber hukum,Pengontrol atas kekuasaan yang absolut,Pedoman hidup berkebangsaan,Memberi perlindungan hak asasi bagi rakyat,1
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Menurut pernyataan dalam Pembukaan UUD 1945 perjuangan kemerdekaan merupakan tindakan yang diberikan oleh Allah karena ....,"Frasa ""Atas berkat rahmat Allah Yang Maha Kuasa"" menunjukkan bangsa Indonesia menjunjung nilai ketuhanan, sehingga simpulannya bangsa Indonesia adalah bangsa yang religius.",,8,Kehidupan kebangsaan yang bebas merupakan keinginan luhur,Bangsa Indonesia adalah bangsa yang religius,Kemerdekaan itu sudah lama diperjuangkan,Banyak pengorbanan yang harus diberikan untuk mendapatkan kemerdekaan,Kemerdekaan karunia Allah yang tidak perlu diperjuangkan,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Salah satu bentuk pengamalan sila ke-4 di bawah ini adalah ....,"Sila keempat menekankan musyawarah dan kebijaksanaan. Karena itu, kita tidak boleh memaksakan kehendak kepada orang lain.",,9,Kita tidak boleh memaksakan kehendak kita kepada orang lain,Mengembangkan sikap hormat menghormati dan bekerja sama dengan bangsa lain,Menjunjung tinggi hak asasi manusia,Menyadari bahwa kita mempunyai hak dan kewajiban yang sama,Mengembangkan sikap saling mencintai sesama manusia,1
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Rumusan dan susunan Pancasila yang benar dan sah tercantum dalam ....,Rumusan dan susunan Pancasila yang sah tercantum dalam Pembukaan UUD 1945 yang disahkan pada 18 Agustus 1945.,,10,Pidato Moh. Yamin tanggal 29 Mei 1945,Piagam Jakarta,Pidato Bung Karno tanggal 1 Juni 1945,Pembukaan UUD 1945,Mukadimah Konstitusi Sementara RIS,4
